nameList,titleList,tagList,textList
['\n      evhandel\n    '],['Под капотом у React. Пишем свою реализацию с нуля'],['JavaScript *ReactJS *'],"['\u2028\u2028\u2028В этом цикле статей мы создадим свою реализацию React с нуля. По окончании у вас будет понимание', ' как работает React', ' какие методы жизненного цикла компонента он вызывает и для чего. Статья рассчитана на тех', ' кто уже использовал React и хочет узнать о его устройстве', ' или на очень любопытных.\n\n']"
['\n      freislot\n    '],['React Hook Router современная альтернатива React Router'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['\n\r\nВольный перевод публикации How React Hooks can replace React Router.\r\nАвтор Peter Ekene Eze.\n\r\nС момента появления React Hooks многое изменилось. Возможности', ' предоставляемые хуками', ' позволили пересмотреть наш подход к определенным концепциям в React', ' в том числе и к маршрутизации.\n\r\nЭтот пост никоим образом не предназначен для того', ' чтобы списывать со счетов React Router или приуменьшать его важность. Мы изучим другие возможности и посмотрим', ' как мы можем улучшить работу с маршрутизацией в приложениях React', ' используя хуки.\n\r\nС этой целью мы сравним React Router и hooksrouter на наглядных примерах. Для начала давайте поближе посмотрим на React Router.']"
['\n      ru_vds\n    '],['Заменяют ли хуки в React Redux?'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],"['С тех пор', ' как в React появились хуки', ' возникает много вопросов о том', ' способны ли они заменить Redux.\n\r\nЯ полагаю', ' что хуки и Redux имеют мало общего между собой. Хуки не дают нам неких новых удивительных возможностей по работе с состоянием. Они', ' вместо этого', ' расширяют API', ' позволяющие делать в React то', ' что в нём уже было возможным. Однако API хуков сделал гораздо удобнее работу со встроенными возможностями React по управлению состоянием. Оказалось', ' что новыми возможностями по работе с состоянием пользоваться легче', ' чем старыми', ' которые имелись в компонентах', ' основанных на классах. Теперь я гораздо чаще', ' чем раньше', ' использую средства по работе с состоянием компонентов. Естественно', ' поступаю я так лишь тогда', ' когда это уместно.\n\n\n\r\nДля того чтобы объяснить моё отношение к хукам React и к Redux', ' мне хотелось бы сначала рассказать о том', ' в каких ситуациях обычно прибегают к использованию Redux.']"
['\n      merrymaker14\n    '],"['Лучшие практики React и советы', ' которые каждый разработчик должен знать. Часть 1']",['ReactJS *'],"['Привет', ' Хабр! Представляю вашему вниманию перевод статьи «React Best Practices & Tips Every React Developer Should Know Pt.1» автора Alex Devero.\n\n\n\r\nReact — одна из самых популярных библиотек для построения интерактивных пользовательских интерфейсов. В этой статье я покажу вам несколько примеров лучших практик по React', ' которые помогут вам стать лучше как разработчик. Ознакомьтесь с этими инструкциями', ' чтобы начать писать код на React лучше.\n\r\nСодержание:\n\n\nСохраняйте ваши компоненты небольшими\nИзбегайте нагромождения компонентов\nСократите использование stateful-компонентов\nИспользуйте функциональные компоненты с хуками и memo вместо компонентов на классах\nНе используйте props в исходном state.\n']"
['\n      ru_vds\n    '],['14 советов по написанию чистого React-кода. Часть 2'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],['Сегодня мы публикуем вторую часть материала о написании чистого кода при разработке React-приложений. Вот ещё несколько полезных советов.\n\n\n\r\n→ Читать первую часть']
['\n      gev_petrosian\n    '],['React Native — серебряная пуля для всех проблем? Как мы выбирали кросс-платформенный инструмент для Profi.ru'],['Разработка под iOS *Разработка под Android *ReactJS *'],"['Всем привет', ' меня зовут Геворг. Я Head of Mobile в Profi.ru. Хочу поделиться с вами историей нашего эксперимента с React Native. Расскажу', ' как мы оценивали плюсы и минусы разработки на React Native — в теории и на практике. Статья будет полезна тем', ' кто интересуется кросс-платформенной мобильной разработкой', ' но пока не решил', ' идти в эту сторону или нет.\n\nМаксимальное ускорение\n\r\nВсё началось с того', ' что мы решили ускорить разработку в 10 раз на уровне компании. Поставили невыполнимую цель', ' чтобы выйти за привычный горизонт событий и попробовать новое. Все команды разработки Profi.ru взялись за эксперименты. На тот момент в компании было 13 нативных мобильных разработчиков', ' включая меня и двух тимлидов. Моя команда работала над двумя мобильными приложениями. В первом клиенты ищут специалистов', ' во втором — специалисты клиентов. Для меня этот период был непонятным и эмоционально напряжённым. По моим ощущениям', ' мы и так много делали', ' чтобы всё работало быстро. \n\r\nИспользовали общую архитектуру на всём проекте и следили за чистотой кода. Использовали генераторы', ' которые создают все файлы модулей. Всю бизнес-логику старались выносить на backend. Настроили CI/CD', ' а приложения покрыли E2E-тестами. За счёт всего этого стабильно релизили некоторые приложения раз в неделю. Я понятия не имел', ' как ускорить разработку даже в два раза. Куда уж в 10. Поэтому мы определили', ' что для нас важно.\n']"
['\n      PatriciaNeil\n    '],['React benefits: A blessing for Businesses?'],['JavaScript *Программирование *Разработка мобильных приложений *ReactJS *Софт '],"['Launched in 2013', ' React has been successfully used to develop 1', '004', '124 websites in the past 6 years. The Javascript library React JS is known for giving simple programming experience and improved performance.\n\r\nIt was released by Facebook to resolve the issues of coding and maintenance with their ads. It was developed with an intention to increase and manage Facebook ads traffic. React has successfully delivered the expected outcomes throughout its journey.']"
['\n      ru_vds\n    '],['Пришло ли время забыть о React и перейти на Svelte?'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *SvelteJS *'],"['Каждый год выходит исследование State of JavaScript', ' которое обобщает результаты опроса', ' изучающего текущее состояние экосистемы JavaScript. Это исследование затрагивает фронтенд-фреймворки', ' серверную и мобильную разработку', ' тестирование', ' популярные ресурсы для разработчиков и многое другое.\n\r\nВ нём всё', ' конечно', ' крутится вокруг JavaScript. Поэтому если вы используете для веб-разработки JS — я очень рекомендую взглянуть на State of JavaScript в том случае', ' если вы ещё этого не сделали.\n\r\nДля меня одним из самых интересных результатов State of JavaScript стало неожиданное внимание тех', ' кто участвовал в опросе', ' к фронтенд-фреймворку Svelte.\n\r\nВ общем рейтинге ведущих фронтенд-инструментов (основанном на показателях осведомлённости о фреймворке', ' интереса к нему и удовлетворённости им) Svelte появился на второй позиции. Он идёт там сразу после React', ' опережая такие хорошо известные инструменты', ' как Vue.js', ' Preact', ' Angular и Ember.\r\nМеня это слегка шокировало', ' так как Svelte — это сравнительно новый инструмент — как в плане возраста', ' так и в плане парадигмы разработки программного обеспечения.\n\n\nРейтинг фронтенд-фреймворков по результатам исследования State of JavaScript']"
['\n      botyaslonim\n    '],[' ... : как переиспользуемые компоненты React помогут фронтенд-разработчику ... '],['Блог компании Mail.ru Group Разработка веб-сайтов *JavaScript *ReactJS *'],"['\r\nВносить однотипные изменения в три-четыре разных места в JS-коде — искусство', ' требующее концентрации внимания. Если элементов больше', ' поддержка кода превращается в муку. Поэтому для долгосрочных или крупных проектов следует писать код так', ' чтобы его можно было вынести в отдельные компоненты. \n\r\nЯ занимаюсь фронтенд-разработкой уже 10 лет и расскажу о применении компонентов для создания элементов фронтенда — это значительно упрощает жизнь фронтенд-разработчика.\n\nНаписано при поддержке Mail.ru Cloud Solutions.']"
['\n      aleme\n    '],['React и Atlaskit в серверных и датацентровых плагинах Atlassian'],['Atlassian *'],"['Всем привет!\n\r\nВ этой статье я бы хотел поговорить о том', ' как использовать React и Atlaskit в плагинах Atlassian в Server и Data Center окружениях.']"
['\n      KnightForce\n    '],['Почему я ушёл с React Native и перешёл во Flutter: Часть 1'],['Блог компании Surf Программирование *Разработка мобильных приложений *Flutter *'],"['Всем привет. Меня зовут Дмитрий Андриянов. Два года писал на React Native', ' сейчас я разработчик в Surf и уже полтора года пишу на Flutter. Когда я только решил серьёзно взяться за Flutter', ' я бы очень хотел найти статью от разработчика', ' который перешёл с React Native на Flutter и узнать его мнение. Теперь этот разработчик — я.\n\r\nСкорее-всего вы видели такие отзывы о React Native и как компании отказываются от него. Я поделюсь своим личным мнением со стороны одного разработчика', ' а не компании.\n\nЭта статья для тех', ' кто:\n\nНе знаком с кросс-платформой и хочет понять основную разницу между технологиями.\nПишет на React Native и хочет узнать', ' что он выиграет при переходе на Flutter.\nНе писал на React Native', ' а только на Flutter.\n\r\nНиже расскажу почему в своё время я выбрал React Native', ' поделюсь причинами ухода во Flutter и приведу основные различия между React Native и Flutter', ' которые', ' на мой взгляд', ' наиболее важны. Со времени ухода с React Native прошло много времени — что-то изменилось и исправлено. Я постарался это учесть', ' но что-то мог упустить из виду.\n\n']"
['\n      ledamint\n    '],"['Urban Bot или как писать чат-ботов для Telegram', ' Slack', ' Facebook… на React.js']",['JavaScript *Node.JS *ReactJS *TypeScript *'],"['\nВ этой статье я хочу познакомить с новой библиотекой Urban Bot', ' которая адаптирует React для написания чат-ботов. Ниже я расскажу', ' зачем эта библиотека появилась на свет', ' какие дает преимущества и как написать вашего первого чат-бота.\nЧат-бот — это чаще всего отдельный чат в мессенджере', ' в котором вы общаетесь не с человеком', ' а с программой. Он может присылать сообщения в виде текста', ' изображений', ' кнопок и многих других UI элементов и реагировать на сообщения от пользователей. Современные чат-боты — это полноценные UI приложения внутри мессенджеров.В отличии от большинства чат-бот библиотек', "" которые чаще всего просто оборачивают http запросы в функции с готовыми аргументами и предоставляют подписки вида bot.on('message'"", ' callback)', ' иногда позволяя передавать контекст между вызовами', ' Urban Bot предлагает совершенно иной подход к разработке чат-ботов — через декларативное программирование и компонентный подход. Живой пример', ' написанный на Urban Bot', ' вы можете попробовать в Telegram', ' cсылка на чат-бот', ' и посмотреть код на GitHub.\nКак мы заметили выше', ' чат-боты это полноценные UI приложения. А какой язык в 2020 и какая библиотека наиболее подходит для разработки UI приложений? Правильно', ' JavaScript и React. Такая интеграция позволяет легко и непринужденно строить чат-боты любой сложности без единого знания об API мессенджеров. Далее я расскажу', ' как создавать простые компоненты и на их основе строить сложных чат-ботов', ' работать с навигацией', ' создавать диалоги любой вложенности', ' писать одно приложение и запускать в любых мессенджерах', ' и многое другое.']"
['\n      IvanGanev\n    '],['Как эффективно применять React Context'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['В статье\xa0Как управлять состоянием React приложения без сторонних библиотек', ' я писал о том как сочетание локального состояния и контекста (React Context) поможет вам упростить управление состоянием при разработке приложения. В этой статье я продолжу эту тему - мы поговорим о методах эффективного использования потребителей контекста (Context Consumer)', ' которые помогут вам избежать ошибок и упростят разработку приложений и/или библиотек.Рекомендую перед прочтением этой статьи прочитать Как управлять состоянием React приложения без сторонних библиотек. Особенно обратите внимание на рекомендацию о том что не нужно применять контексты для решения всех проблем связанных с передачей состояния. Однако', ' когда вам все таки понадобиться применять контексты', ' надеюсь эта статья поможет вам делать это наиболее эффективным образом. Так же помните о том что контексты НЕ обязательно должны быть глобальными', ' контекст может (и скорее всего', ' должен) быть частью какой либо ветки в структуре вашего приложения.Давайте', ' для начала', ' создадим файл\xa0src/count-context.js\xa0и пропишем там наш контекст:']"
['\n      KnightForce\n    '],['Почему я ушёл с React Native и перешёл во Flutter: Часть 2'],['Блог компании Surf Программирование *Разработка мобильных приложений *ReactJS *Flutter *'],"['Всем привет. Меня зовут Дмитрий Андриянов. Два года я писал на React Native', ' сейчас работаю в Surf во Flutter отделе и уже более полутора лет пишу на Flutter.\n\r\nВ первой части статьи я рассказал про основные различия между React Native и Flutter.\r\nВ этой части расскажу про различия между React Native и Flutter при создании UI для Android и iOS.\n\n\n']"
['\n      KLugovaya\n    '],['Что выбрать в качестве библиотеки компонентов для React-проекта'],['Разработка веб-сайтов *Open source *JavaScript *ReactJS *TypeScript *'],"['Меня зовут Ксюша Луговая. В СберКорусе я занимаюсь поддержкой библиотеки React-компонентов Korus-UI.\xa0С проблемой выбора библиотеки рано или поздно сталкивается почти каждый разработчик', ' и порой решение может быть нетривиальным. Возникают вопросы: чем\xa0руководствоваться при выборе библиотеки', ' какие популярные решения предлагает рынок', ' какие у них плюсы и минусы? Обзоры и отзывы не всегда помогают найти решение.В мире разработки не существует идеального варианта на все случаи. Поэтому в\xa0статье я\xa0расскажу', ' как мы решаем эту задачу', ' и разберу на примерах анализа нескольких популярных решений', ' как выбрать библиотеку React-компонентов для\xa0своего проекта.\xa0']"
['\n      varunbhagat1\n    '],['React Native: The First Choice of Mobile App Developers and Businesses'],['Разработка под iOS *Разработка мобильных приложений *Разработка под Android *Дизайн мобильных приложений *'],"['\n\nLet’s discuss why mobile app developers select React Native for application development over other cross-platform frameworks.\n\r\nWhile few users continue to work with the Native development approach', ' those who want to succeed in their business have started exploring new opportunities. One such occasion in this technically advanced world is to turn toward cross-platform frameworks.\n\r\nOut of 2.8 million apps available on the Google play store and 2.2 million apps in Apple App Store', ' there is a growing need for cross-platform applications. The significant advantage of a cross-platform mobile application is that it helps businesses save development costs. This is where React Native comes into action.\n\r\nIn the middle of this', ' if you are a businessman and thinking of hiring mobile app developers and there is a continuously running debate in your mind “React Native vs Native” then this post is for you.\n']"
['\n      aio350\n    '],"['Заметка о том', ' как работают хуки в React']",['Разработка веб-сайтов *JavaScript *Программирование *ReactJS *'],"['\n\r\nДоброго времени суток', ' друзья!\n\r\nХочу поделиться с вами некоторыми наблюдениями относительно того', ' как работает React', ' а именно: предположениями о том', ' почему хуки нельзя использовать в if', ' циклах', ' обычных функциях и т.д. И действительно ли их нельзя использовать подобным образом?\n\r\nВопрос звучит следующим образом: почему хуки можно использовать только на верхнем уровне? Вот что по этому поводу говорит официальная документация.\n\r\nНачнем с правил использования хуков.\n']"
['\n      maxpetrikov\n    '],['Как разобраться в исходном коде React'],['Open source *JavaScript *ReactJS *'],"['React самая популярная библиотека для построения пользовательских интерфейсов. Мы знаем про виртуальное дерево', ' движок fiber', ' процедуру reconcilation', ' хуки и другие прекрасные возможности react. Но как это работает на уровне исходного кода? Ответить на этот вопрос смогут очень небольшое количество программистов.В этой статье', ' я стараюсь дать начальное понимание как разобраться в исходниках', ' отлаживать react и как сделать первые шаги в становлении контрибьютором.Надеюсь это введение станет для кого-то отправной точкой и рассеет страхи', ' связанные с тем что разобраться в исходниках популярной библиотеки слишком сложно и ""это не для меня"".']"
['\n      MaxRokatansky\n    '],['6 лучших практик React в 2021 году'],['Блог компании OTUS Программирование *ReactJS *'],"['Написание чистого и удобочитаемого кода необходимо для повышения его качества. Кроме того', ' чистый код легче тестировать. Нет причин не потратить пять лишних минут на рефакторинг кода', ' чтобы сделать его более удобным для чтения.В этой статье рассматриваются шесть лучших практик React 2021 года', ' чтобы улучшить свой код. Речь пойдет о следующих пунктах:']"
['\n      technokratiya\n    '],['React 18: что нужно знать о новой версии'],['JavaScript *ReactJS *'],"['В начале лета в официальном блоге React вышла новость о планах на 18 версию библиотеки. Команда разработчиков рассказала о новых фичах и API', ' которые планируется зарелизить в обновлении. Меня зовут Ильмир Шайхутдинов', ' я frontend разработчик Технократии', ' и в этой статье я хочу пробежаться по изменениям и познакомить вас с ними поближе.\xa0']"
['\n      jojo97\n    '],"['Построение надежных веб-приложений на React: Часть 1', ' браузерные прототипы']",['Разработка веб-сайтов *JavaScript *ReactJS *'],"['Перевод статьи «Building robust web apps with React: Part 1', ' in-browser prototypes»', ' Matt Hinchliffe\n\r\nОт переводчика: это первая статья из цикла «Building robust web apps with React».\r\nПереводы: \n\nПостроение надежных веб-приложений на React: Часть 1', ' браузерные прототипы\nПостроение надежных веб-приложений на React: Часть 2', ' оптимизация с Browserify\nПостроение надежных веб-приложений на React: Часть 3', ' тестирование с Jasmine\nПостроение надежных веб-приложений на React: Часть 4', ' серверная генерация\n\n\r\nКогда я смотрю на то', ' как устроены браузеры и протоколы', ' на которых работает веб', ' мне становится как-то тревожно. Есть столько всего', ' что может и', ' обычно', ' идет не так', ' что становится удивительно', ' как хоть что-то из того', ' что мы пишем', ' вообще работает. Надежность «вопреки всему» происходит от отказоустойчивости и обратной совместимости', ' которые укоренились в ключевые части веб-стека. Браузер всегда сделает все возможное', ' чтобы отобразить', ' что-то полезное', ' будь-то парсинг плохо написанного документа', ' в котором невозможно получить зависимости', ' или', ' который на 10 лет устарел.\n\n\n404PageFound содержит до сих пор работающие сайты', ' созданные еще в 1993 году.\n']"
['\n      MostovenkoAlexander\n    '],['Разработка javascript приложений на базе Rx.js и React.js (RxReact)'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['\r\nReact.js позволяет очень эффективно и быстро работать с DOM-ом', ' активно развивается и с каждым днем набирает все больше популярности. Недавно открыл для себя концепцию реактивного программирования', ' в частности', ' не менее популярную библиотеку Rx.js. Данная библиотека выводит на новый уровень работу с событиями и асинхронным кодом', ' которого в UI логике javascript приложений предостаточно. Пришла идея объединить мощь данных библиотек в одно целое и посмотреть что из этого выйдет. В этой статье вы узнаете о том как удалось подружить Rx.js и React.js.\n']"
['\n      olegshilov\n    '],['React на ES6+'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['Это перевод поста Steven Luscher опубликованного в блоге Babel. Steven работает в Facebook над Relay – JavaScript фрэймворком для создания приложений с использованием React и GraphQL.\nЗа этот год', ' в процессе реорганизации Instagram Web', ' мы насладились использованием ряда особенностей ES6+', ' при написании нашх React компонентов. Позвольте мне остановиться на тех моментах', ' когда новые возможности языка могут повлиять на то как вы пишите React приложения', ' и сделают этот процесс легче и веселее', ' чем когда-либо.\n']"
['\n      forcewake\n    '],['Использование React JSX вместе с TypeScript 1.6'],['Разработка веб-сайтов *JavaScript *ReactJS *TypeScript *'],"['Не так давно Microsoft объявила о выпуске TypeScript 1.6 Beta', ' одним из интересных', ' на мой взгляд', ' нововведением является поддержка React/JSX', "" что в совокупности с особенностями TypeScript'а открывает новые возможности.\n\n\n\r\nЯ расскажу о личном опыте — как начал использовать связку TypeScript + React"", ' с каким проблемами столкнулся и как их решал. А так же покажу примеры gulp-тасков для того', ' чтобы это все заработало и продемонстрирую код минимального todo приложения на TypeScript + React (ссылка на Github).\n\r\nЕсли вам это интересно — пожалуйста', ' заходите под кат.']"
['\n      lavrton\n    '],['Про использование React с элементом canvas'],['JavaScript *HTML *Canvas *ReactJS *'],"['Есть такой замечательный фреймворк React', ' который позволяет работать с огромным и мутабельным DOM в красивом иммутабельном функциональном стиле. Это действительно круто.\n\r\nНо я бы хотел рассказать про опыт использования React', ' который позволяет работать с мутабельной абстракцией над ""иммутабельным"" canvas элементом. Звучит странно', ' но работает отлично.\n\nМотивация\r\nЯ использую элемент <canvas> очень часто. Я сделал несколько достаточно сложных веб-приложений', ' в которых canvas — это основной элемент представления данных. Использовать canvas без всяких фреймворков и библиотек может быть действительно сложно в крупных приложениях. Поэтому я начал часто использовать фреймворки. Сейчас я поддерживаю фреймворк Konva (есть обзорная статья https://habrahabr.ru/post/250897/).\n\r\nKonva помогает очень сильно', ' но хочется большего. Так же я начал использовать React в своих приложениях', ' и он мне действительно нравится. И я подумал', ' как же я могу использовать React для рисования графики на canvas?\n\n\n\n']"
['\n      KyKyPy3uK\n    '],['Тестирование в React'],['Блог компании InfoWatch Тестирование IT-систем *ReactJS *'],"['\n\r\nКаждый JS-разработчик рано или поздно начинает писать тесты и сожалеть', ' что не стал делать этого раньше. Поскольку за последние пару лет все постепенно перешли к компонентной разработке на основе React', ' Angular или', ' например', ' Vue', ' это дало очередной толчок для популяризации тестирования', ' так как компоненты обычно малы и тестировать их гораздо проще. В данной статье мы рассмотрим компонентное тестирование в React. ']"
['\n      m1skam\n    '],['React.js State of the art (интервью с Max Stoiber)'],['Блог компании JUG Ru Group JavaScript *ReactJS *'],"['\n\r\nСовременная разработка веб-интерфейсов сосредоточена вокруг нескольких больших сообществ. На протяжении последних пяти лет React завоевывал симпатии программистов из самых разных отраслей. React – это одна-единственная библиотека', ' сделавшая MVC рудиментарным в программировании веб-интерфейсов. Сегодня React используется крупнейшими компаниями для разработки самых разнообразных продуктов — Facebook', ' Airbnb', ' BBC', ' Coursera', ' eBay', ' Expedia', ' IMDB', ' список можно продолжать.\n\r\nОдной из уникальных особенностей мира React является крупнейшее и очень активное сообщество опенсорс-разработчиков вокруг него. Max Stoiber — один из людей', ' благодаря которым React стал тем', ' чем он является на сегодня как проект. На протяжении последних нескольких лет он работал над популярнейшим boilerplate проектом в сообществе и внедрял новейшие и лучшие технологии в массовое использование.\n\r\nМы поговорили с Максом о новых веяниях в сообществе', ' о статической типизации для разработки с React', ' о новом подходе стилизации компонентов и о snapshot-тестировании.\n\r\nК секретам разработки на React можно приобщиться ниже в интервью.\n']"
['\n      vtikunov\n    '],['Мыслим в стиле React'],['Разработка веб-сайтов *JavaScript *ReactJS *'],"['\nПеревод туториала официальной документации библиотеки React.js.\nМыслим в стиле React\nReact', ' на наш взгляд', ' это лучший способ построить большое', ' быстрое веб-приложение с помощью JavaScript. По нашему опыту в Facebook и Instagram', ' приложение на React также очень хорошо масштабируется.\nОдно из многих замечательных свойств React — это принцип ""Как вы проектируете приложение', ' также вы и создаете его"". В этом туториале вы пройдете весь мыслительный процесс проектирования и создания приложения React', ' отображающего таблицу данных для поиска товара.\n']"
['\n      NIX_Solutions\n    '],['Как организовать большое React-приложение и сделать его масштабируемым'],['Блог компании NIX Программирование *ReactJS *'],"['\n\r\nОдной из лучших особенностей React является то', ' что он не накладывает каких-либо ограничений на файловую структуру проекта. Поэтому на StackOverflow и аналогичных ресурсах так много вопросов о том', ' как структурировать React-приложения. Это очень спорная тема. Не существует единственного правильного пути. Предлагаем разобраться в этом вопросе с помощью статьи Джека Франклина', ' в которой он рассказывает о подходе к структурированию больших React-приложений. Здесь вы узнаете', ' какие решения можно принимать при создании React-приложений: о выборе инструментов', ' структурировании файлов и разбивки компонентов на более мелкие части.\n']"
['\n      maxfarseer\n    '],['Разработка игры на React + SVG. Часть 2'],['JavaScript *Разработка игр *'],"['TL;DR: в этих сериях вы узнаете', ' как заставить React и Redux управлять SVG элементами для создания игры. Полученные в этой серии знания позволят вам создавать анимацию не только для игр. Вы можете найти окончательный вариант исходного кода', ' разработанного в этой части', ' на GitHub\n']"
['\n      ru_vds\n    '],['9 советов по улучшению качества кода React-приложений'],['Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *ReactJS *'],"['Библиотека React значительно облегчает жизнь разработчиков', ' которым приходится создавать сложные пользовательские интерфейсы. Программисту достаточно подготовить простые описания графических представлений для состояний приложения', ' а React', ' при изменении данных', ' будет эффективно обновлять и перерисовывать только те компоненты', ' на которые повлияли эти изменения. Однако', ' для того', ' чтобы создавать качественные проекты на React', ' программисту нужно приложить усилия', ' направленные на освоение этой библиотеки и вспомогательных средств разработки.\n\n\n\r\nАвтор статьи', ' перевод которой мы сегодня публикуем', ' хочет поделиться с аудиторией React-разработчиков девятью полезными советами', ' направленными на повышение качества кода. Эти советы затрагивают довольно широкий диапазон тем — от инструментальных средств до стиля программирования.']"
['\n      maryzam\n    '],['Как подружить React и D3'],['JavaScript *Визуализация данных ReactJS *'],"['D3 одна из наиболее популярных javascript-библиотек для создания динамических и интерактивных визуализаций данных. Сегодня ее используют сотни тысяч сайтов и web-приложений. \nВ интернете огромное количество примеров – от банальных линейных графиков до динамически обновляющихся диаграмм Вороного – созданных с помощью этой библиотеки. Кажется', ' что можно найти готовый код для любой самой причудливой визуализации и лишь немного модифицировать его «под себя». \nОднако', ' интеграция D3 в web-приложение', ' построенное на React', ' на практике оказывается не самой простой задачей.\n']"
['\n      Banderolka\n    '],['Почему мы выбрали Vue.js (а не React)'],['Блог компании Бандеролька '],"['Недавно команда Qwintry начала активную миграцию на Vue.js во всех наших старых и новых проектах:\n\n\n в legacy системе', ' работающей на Drupal (qwintry.com) \n в нашей новой', ' полностью переписанной ветке qwintry.com (бекэнд на Yii2 / Node.js) \n в наших B2B-системах (работающих на Yii2) (logistics.qwintry.com) \n во всех наших мелких внутренних и публичных проектах (в основном использующих PHP и Node.js на бэкенде)\n\r\nПочему наши программисты остановили выбор на Vue.js', ' рассказывает руководитель департамента разработки Qwintry LLC. Антон Сидашин ➔\n']"
